Target Word,Level,Type,Taboo 1,Taboo 2,Taboo 3,Taboo 4,Taboo 5
Nuisible,B2,Adj,Mauvais,Insecte,Problème,Jardin,Animal
Éolienne,B2,Noun,Vent,Énergie,Électricité,Vert,Renouvelable
S'adapter,B2,Verb,Changer,Habitude,Nouveau,Climat,Évolution
Urbain,B2,Adj,Ville,Campagne,Rue,Bâtiment,Habiter
Loup,A2,Noun,Animal,Forêt,Chien,Peur,Conte
Lion,A1,Noun,Roi,Jungle,Savane,Animal,Afrique
Lune,A1,Noun,Nuit,Ciel,Étoiles,Lumière,Blanc
Campagne,A2,Noun,Ville,Village,Nature,Ferme,Calme
Ramasser,A2,Verb,Prendre,Terre,Main,Objet,Lever
Fleuve,B1,Noun,Rivière,Eau,Mer,Courant,Grand
Écologique,B1,Adj,Vert,Planète,Nature,Respectueux,Environnement
Épuiser,B2,Verb,Finir,Ressource,Énergie,Fatigué,Utiliser
Triste,A1,Adj,Malheureux,Pleurer,Joie,Content,Sentiment
Aimer,A1,Verb,Amour,Adorer,Coeur,Préférer,Sentiment
Gentil,A1,Adj,Méchant,Sympa,Bon,Aimable,Personne
Peur,A1,Noun,Effrayé,Cri,Phobie,Nuit,Dangereux
Rire,A1,Verb,Drôle,Blague,Sourire,Amusant,Bouche
En colère,A2,Adj,Énervé,Fâché,Crier,Rouge,Sentiment
Sourire,A2,Verb,Heureux,Bouche,Content,Rire,Visage
Timide,A2,Adj,Parler,Peur,Rouge,Discret,Gens
Pleurer,A2,Verb,Triste,Yeux,Larme,Eau,Malheur
Drôle,A2,Adj,Rigolo,Amusant,Comique,Rire,Blague
S'ennuyer,B1,Verb,Temps,Intéressant,Occupé,Rien,Long
Inquiet,B1,Adj,Stressé,Peur,Problème,Rassurer,Calme
Généreux,B1,Adj,Donner,Partager,Cadeau,Argent,Bon
Déçu,B1,Adj,Espérer,Attendre,Triste,Dommage,Résultat
Se fâcher,B1,Verb,Colère,Énervé,Disputer,Crier,Contre
Hypocrite,B2,Adj,Mentir,Faux,Sincère,Visage,Vérité
Angoisse,B2,Noun,Peur,Stress,Panique,Sentiment,Anxiété
Misanthrope,B2,Adj,Gens,Humains,Seul,Détester,Société
Sympa,A1,Adj,Gentil,Cool,Ami,Agréable,Personne
Détester,A1,Verb,Haïr,Aimer,Pas,Horreur,Dégoût
Content,A1,Adj,Heureux,Joie,Satisfait,Triste,Sourire
Merveilleux,A2,Adj,Magnifique,Beau,Super,Génial,Magique
Surpris,A2,Adj,Étonné,Cadeau,Inattendu,Choc,Bouche bée
Méchant,A2,Adj,Mauvais,Gentil,Mal,Agressif,Cruel
Courageux,A2,Adj,Peur,Héros,Fort,Brave,Risque
Patient,A2,Adj,Attendre,Temps,Calme,Vite,Énervé
Se sentir,B1,Verb,Aller,Émotion,État,Bien,Mal
Optimiste,B1,Adj,Positif,Voir,Bien,Futur,Pessimiste
Ressentir,B1,Verb,Émotion,Sentiment,Éprouver,Intérieur,Coeur
Égoïste,B1,Adj,Soi-même,Partager,Seul,Prendre,Moi
Honnête,B1,Adj,Vérité,Mentir,Sincère,Franc,Voler
Susceptible,B2,Adj,Vexé,Critique,Émotion,Fragile,Prendre mal
Nostalgie,B2,Noun,Passé,Souvenir,Triste,Temps,Regret
S'entendre,B1,Verb,Amis,Ensemble,Relation,Disputer,Sympa
Mépriser,B2,Verb,Détester,Juger,Inférieur,Regard,Respect
Extraverti,B2,Adj,Parler,Gens,Ouvert,Timide,Sortir
Rancunier,B2,Adj,Pardonner,Colère,Oublier,Passé,Garder
Modeste,B1,Adj,Humble,Vaniteux,Prétentieux,Réussite,Simple
Jaloux,A2,Adj,Envie,Amour,Autre,Copain,Possessif
Énervé,A2,Adj,Colère,Fatigué,Stress,Fâché,Calme
Adorer,A1,Verb,Aimer,Passion,Beaucoup,Fan,Culte
Inquiéter,B1,Verb,Souci,Peur,Rassurer,Problème,Stress
Fier,B1,Adj,Content,Succès,Soi,Réussite,Estime
Sincère,B1,Adj,Honnête,Vérité,Mentir,Franc,Coeur
Cruel,B2,Adj,Méchant,Mal,Souffrir,Dur,Cœur
Mélancolie,B2,Noun,Triste,Doux,Sentiment,Noir,Passé
Séduire,B2,Verb,Plaire,Amour,Charme,Attirer,Draguer
Pain,A1,Noun,Boulangerie,Baguette,Manger,Farine,Sandwich
Pomme,A1,Noun,Fruit,Rouge,Arbre,Jus,Manger
Boire,A1,Verb,Eau,Soif,Verre,Liquide,Bouteille
Lait,A1,Noun,Blanc,Vache,Boire,Fromage,Petit-déjeuner
Délicieux,A2,Adj,Bon,Goût,Manger,Excellent,Savoureux
Sucre,A2,Noun,Doux,Dessert,Blanc,Gâteau,Bonbon
Goûter,A2,Verb,Manger,Saveur,Essayer,Bouche,Langue
Légume,A2,Noun,Salade,Vert,Carotte,Sain,Jardin
Recette,B1,Noun,Livre,Cuisine,Ingrédients,Préparer,Plat
Savoureux,B1,Adj,Goût,Bon,Délicieux,Manger,Épicé
Grignoter,B1,Verb,Manger,Petit,Faim,Entre,Repas
Équilibré,B1,Adj,Santé,Repas,Bien,Régime,Varié
Végétarien,B1,Adj,Viande,Animal,Manger,Régime,Légumes
Gastronomie,B2,Noun,Cuisine,France,Luxe,Restaurant,Chef
Mijoter,B2,Verb,Cuire,Lentement,Feu,Préparer,Plat
Assaisonner,B2,Verb,Sel,Poivre,Goût,Épices,Ajouter
Succulent,B2,Adj,Très,Bon,Délicieux,Manger,Goût
Gourmand,B2,Adj,Manger,Beaucoup,Sucre,Plaisir,Faim
Fromage,A1,Noun,Lait,Camembert,France,Plateau,Vache
Viande,A1,Noun,Boucherie,Animal,Bœuf,Poulet,Manger
Petit-déjeuner,A1,Noun,Matin,Boire,Manger,Café,Croissant
Sel,A2,Noun,Poivre,Blanc,Mer,Goût,Cuisine
Faim,A2,Noun,Manger,Estomac,Appetit,Avoir,Soif
Commander,A2,Verb,Restaurant,Menu,Serveur,Payer,Choisir
Sucré,A2,Adj,Dessert,Sucre,Bonbon,Gâteau,Salé
Frais,A2,Adj,Nature,Nouveau,Froid,Aliment,Eau
Nourrissant,B1,Adj,Manger,Énergie,Riche,Santé,Calorie
Cuit,B1,Adj,Cru,Feu,Four,Cuisine,Manger
Saveur,B1,Noun,Goût,Langue,Épice,Ressentir,Bouche
Bruncher,B1,Verb,Matin,Midi,Manger,Weekend,Oeufs
Bio,B1,Adj,Naturel,Agriculture,Sain,Écologique,Produit
Amer,B2,Adj,Goût,Café,Chocolat,Sucre,Acide
Comestible,B2,Adj,Manger,Poison,Danger,Aliment,Possible
Déguster,B2,Verb,Goût,Vin,Manger,Apprécier,Lentement
Aigre-doux,B2,Adj,Chinois,Sucre,Vinaigre,Goût,Mélange
Friandise,B2,Noun,Bonbon,Sucre,Enfant,Douceur,Petit
Beurre,A1,Noun,Lait,Gras,Tartine,Cuisine,Jaune
Vin,A1,Noun,Alcool,Bouteille,Rouge,Boire,Raisin
Bouteille,A1,Noun,Boire,Verre,Eau,Vin,Plastique
Gâteau,A2,Noun,Dessert,Sucre,Anniversaire,Chocolat,Four
Servir,A2,Verb,Restaurant,Assiette,Serveur,Donner,Table
Salé,A2,Adj,Sel,Goût,Mer,Sucré,Cuisine
Épicé,B1,Adj,Piment,Chaud,Fort,Goût,Cuisine
Bouillir,B1,Verb,Eau,Chaud,Feu,Cuire,Pâtes
Produit,B1,Noun,Acheter,Magasin,Objet,Fabriquer,Article
Abondant,B2,Adj,Beaucoup,Trop,Riche,Quantité,Plein
Savourer,B2,Verb,Manger,Apprécier,Lentement,Goût,Plaisir
Porter,A1,Verb,Mettre,Habits,Corps,Vêtement,Chaussures
Pantalon,A1,Noun,Jambes,Jean,Vêtement,Bas,Porter
Chaussure,A1,Noun,Pieds,Marcher,Paire,Basket,Talon
Rouge,A1,Adj,Couleur,Sang,Tomate,Lèvres,Clair
Mettre,A2,Verb,Porter,Habiller,Vêtement,Enlever,Matin
Joli,A2,Adj,Beau,Esthétique,Mignon,Regarder,Laid
Cher,A2,Adj,Prix,Argent,Coûter,Luxe,Euro
S'habiller,B1,Verb,Vêtements,Matin,Mode,Prêt,Look
Élégant,B1,Adj,Chic,Beau,Classe,Style,Vêtement
Précieux,B1,Adj,Bijou,Cher,Or,Valeur,Diamant
Essayer,B1,Verb,Cabine,Taille,Vêtement,Magasin,Voir
Tendance,B2,Adj,Mode,Actuel,Style,Magazine,Populaire
Se démoder,B2,Verb,Vieux,Style,Passer,Ancien,Mode
Sophistiqué,B2,Adj,Complexe,Élégant,Chic,Recherche,Simple
Coudre,B2,Verb,Aiguille,Fil,Machine,Tissu,Réparer
Superficiel,B2,Adj,Apparence,Profond,Image,Extérieur,Beauté
Chemise,A1,Noun,Boutons,Porter,Haut,Cravate,Travail
Robe,A1,Noun,Femme,Porter,Mariage,Jupe,Vêtement
Bleu,A1,Adj,Couleur,Ciel,Mer,Foncé,Clair
Sac,A1,Noun,Porter,Main,Dos,Objet,Cuir
Chapeau,A1,Noun,Tête,Soleil,Porter,Casquette,Bonnet
Laid,A2,Adj,Moche,Beau,Horrible,Regarder,Visage
Neuf,A2,Adj,Nouveau,Vieux,Occasion,Acheter,Propre
Payer,A2,Verb,Argent,Acheter,Caisse,Prix,Carte
Court,A2,Adj,Long,Taille,Petit,Jambes,Cheveux
Maquiller,A2,Verb,Visage,Yeux,Rouge à lèvres,Beauté,Femme
Assortir,B1,Verb,Couleurs,Ensemble,Marier,Vêtements,Aller
Confortable,B1,Adj,Bien,Mou,Pyjama,Porter,Chaise
Rayures,B1,Noun,Lignes,Motif,Zèbre,Chemise,Dessin
Prêter,B1,Verb,Donner,Rendre,Ami,Emprunter,Objet
Coton,B1,Noun,Matière,Tissu,T-shirt,Doux,Plante
Luxueux,B2,Adj,Cher,Riche,Or,Marque,Qualité
S'apprêter,B2,Verb,Préparer,Sortir,Habiller,Soirée,Miroir
Vulgaire,B2,Adj,Chic,Style,Mauvais,Élégant,Simple
Désuet,B2,Adj,Vieux,Mode,Ancien,Passé,Style
Sur-mesure,B2,Adj,Taille,Corps,Tailleur,Précis,Unique
T-shirt,A1,Noun,Haut,Porter,Coton,Manche,Vêtement
Jupe,A1,Noun,Femme,Jambes,Courte,Robe,Porter
Vieux,A1,Adj,Jeune,Neuf,Ancien,Âge,Temps
Couleur,A1,Noun,Rouge,Bleu,Peinture,Arc-en-ciel,Teinte
Laine,A2,Noun,Mouton,Chaud,Hiver,Pull,Tricot
Maillot,A2,Noun,Bain,Sport,Plage,Nager,Corps
Parfum,A2,Noun,Odeur,Sentir,Flacon,Luxe,Fleur
Large,A2,Adj,Grand,Étroit,Taille,Place,Pantalon
Démodé,B1,Adj,Vieux,Style,Ancien,Ringard,Mode
Taille,B1,Noun,Mesure,Grand,Petit,Vêtement,Corps
Ballon,A1,Noun,Rond,Foot,Jouer,Lancer,Sport
Jouer,A1,Verb,Jeu,Amusement,Match,Équipe,Gagner
Courir,A1,Verb,Pieds,Vite,Jambes,Sport,Marathon
Vite,A1,Adj,Rapide,Vitesse,Lent,Courir,Temps
Nager,A2,Verb,Eau,Piscine,Mer,Maillot,Poisson
Équipe,A2,Noun,Groupe,Joueurs,Ensemble,Match,Club
Pratiquer,A2,Verb,Faire,Sport,Activité,Régulièrement,Exercice
Fort,A2,Adj,Puissant,Muscle,Faible,Force,Sport
Entraînement,B1,Noun,Préparer,Coach,Sport,Séance,Exercice
Détendre (Se),B1,Verb,Calme,Repos,Relaxer,Stress,Vacances
Compétition,B1,Noun,Match,Gagner,Concours,Sport,Adversaire
Passionné,B1,Adj,Aimer,Fan,Adorer,Intérêt,Beaucoup
Siffler,B1,Verb,Arbitre,Match,Bruit,Bouche,Faute
Performance,B2,Noun,Résultat,Sportif,Capacité,Niveau,Réussite
Endurance,B2,Noun,Longtemps,Effort,Fatigue,Résistance,Courir
Amateur,B2,Adj,Professionnel,Sport,Loisir,Débutant,Plaisir
Défier,B2,Verb,Duel,Contre,Provocateur,Adversaire,Compétition
Épuisant,B2,Adj,Fatigué,Dur,Effort,Énergie,Vide
Vélo,A1,Noun,Bicyclette,Roues,Pédaler,Rouler,Transport
Match,A1,Noun,Jeu,Équipe,Sport,Gagner,Stade
Lent,A1,Adj,Vite,Tortue,Vitesse,Doucement,Temps
Marcher,A1,Verb,Pieds,Jambes,Promener,Randonnée,Aller
Musique,A1,Noun,Écouter,Instrument,Chanter,Radio,Note
Perdre,A2,Verb,Gagner,Match,Défaite,Moins,Trouver
Sortir,A2,Verb,Dehors,Amis,Soirée,Partir,Maison
Stade,A2,Noun,Foot,Match,Sport,Gradins,Terrain
Vif,A2,Adj,Rapide,Énergie,Couleur,Vite,Esprit
Sauter,A2,Verb,Air,Pieds,Bondir,Haut,Sol
Loisir,B1,Noun,Temps,Libre,Activité,Passion,Vacances
Adversaire,B1,Noun,Contre,Ennemi,Match,Joueur,Autre
Remporter,B1,Verb,Gagner,Victoire,Prix,Coupe,Obtenir
Agile,B1,Adj,Souple,Rapide,Mouvement,Corps,Facile
Arbitre,B1,Noun,Match,Règles,Sifflet,Faute,Décider
Exigeant,B2,Adj,Dur,Difficile,Perfection,Travail,Strict
S'investir,B2,Verb,Temps,Énergie,Faire,Engagement,Travail
Incontournable,B2,Adj,Obligatoire,Nécessaire,Important,Voir,Manquer
Se surpasser,B2,Verb,Meilleur,Limite,Effort,Gagner,Progrès
Stratégie,B2,Noun,Plan,Gagner,Jeu,Tactique,Réfléchir
Foot,A1,Noun,Ballon,But,Terrain,Équipe,Sport
Tennis,A1,Noun,Raquette,Balle,Court,Filet,Sport
Mince,A2,Adj,Gros,Taille,Corps,Maigre,Poids
Pêcher,A2,Verb,Poisson,Eau,Mer,Ligne,Rivière
Skier,A2,Verb,Neige,Montagne,Hiver,Station,Glisser
Randonnée,B1,Noun,Marcher,Montagne,Nature,Sac à dos,Pieds
Inscrire (S'),B1,Verb,Club,Sport,Participer,Adhérer,Nom
Spectacle,B1,Noun,Voir,Théâtre,Concert,Public,Scène
Redoutable,B2,Adj,Peur,Danger,Fort,Adversaire,Impressionnant
Cohésion,B2,Noun,Équipe,Ensemble,Unité,Groupe,Lien
Malade,A1,Adj,Santé,Médecin,Lit,Grippe,Mal
Corps,A1,Noun,Humain,Bras,Jambes,Tête,Physique
Tête,A1,Noun,Cheveux,Visage,Cerveau,Chapeau,Haut
Main,A1,Noun,Doigts,Bras,Prendre,Gauche,Droite
Hôpital,A2,Noun,Médecin,Malade,Lit,Opération,Urgence
Douleur,A2,Noun,Mal,Souffrir,Corps,Blessure,Aïe
Sain,A2,Adj,Santé,Bien,Manger,Corps,Équilibré
Cœur,A2,Noun,Amour,Poitrine,Sang,Battre,Corps
Ordonnance,B1,Noun,Médecin,Papier,Pharmacie,Médicament,Écrire
Guérir,B1,Verb,Malade,Mieux,Santé,Soigner,Finir
Médicament,B1,Noun,Pharmacie,Pilule,Pharmacie,Soigner,Boire
Blessure,B1,Noun,Mal,Sang,Accident,Coupure,Sport
Contagieux,B2,Adj,Maladie,Transmettre,Virus,Attraper,Gens
Symptôme,B2,Noun,Maladie,Signe,Médecin,Corps,Ressentir
Diagnostic,B2,Noun,Médecin,Maladie,Résultat,Examen,Trouver
Bénévole,B2,Adj,Aider,Argent,Gratuit,Association,Temps
Prévention,B2,Noun,Éviter,Danger,Santé,Avant,Risque
Bras,A1,Noun,Main,Épaule,Corps,Porter,Gauche
Jambe,A1,Noun,Pied,Marcher,Genou,Pantalon,Corps
Ventre,A1,Noun,Manger,Estomac,Corps,Bas,Gros
Yeux,A1,Noun,Voir,Regarder,Visage,Lunettes,Couleur
Bouche,A1,Noun,Manger,Parler,Dents,Lèvres,Visage
Soigner,A2,Verb,Médecin,Malade,Mieux,Guérir,Médicament
Fièvre,A2,Noun,Chaud,Température,Malade,Degrés,Front
Pharmacien,A2,Noun,Médicaments,Magasin,Vendre,Ordonnance,Santé
Sportif,A2,Adj,Sport,Corps,Forme,Exercice,Musclé
Rassurer,B1,Verb,Peur,Calmer,Dire,Confiance,Inquiet
Souffrir,B1,Verb,Mal,Douleur,Triste,Corps,Ressentir
S'essouffler,B1,Verb,Air,Respirer,Sport,Fatigué,Courir
Fracture,B1,Noun,Os,Cassé,Accident,Plâtre,Jambe
Vaccin,B1,Noun,Piqûre,Virus,Maladie,Protection,Médecin
Sédentaire,B2,Adj,Assis,Bouger,Sport,Vie,Travail
Héréditaire,B2,Adj,Famille,Parents,Gènes,Transmettre,Naissance
Anxiété,B2,Noun,Stress,Peur,Inquiet,Angoisse,Esprit
Chronique,B2,Adj,Temps,Maladie,Longtemps,Toujours,Régulier
Convalescence,B2,Noun,Après,Guérir,Repos,Malade,Temps
Dos,A1,Noun,Arrière,Corps,Sac,Épaules,Porter
Dents,A1,Noun,Bouche,Blanc,Manger,Brosse,Sourire
